Driver,Team,TotalPoints,TotalRaces,FinishedRaces,DNFRate,AvgPosition,Recent5Avg,HighSpeedAvg,HighSpeedRaces,BalancedAvg,BalancedRaces,TechnicalAvg,TechnicalRaces
L NORRIS,McLaren,394.0,24,21,0.125,2.238095238095238,2.0,2.238095238095238,0,2.238095238095238,0,2.238095238095238,0
M VERSTAPPEN,Red Bull Racing,382.0,24,23,0.04166666666666663,3.0869565217391304,1.8,3.0869565217391304,0,3.0869565217391304,0,3.0869565217391304,0
O PIASTRI,McLaren,375.0,24,22,0.08333333333333337,2.8636363636363638,4.25,2.8636363636363638,0,2.8636363636363638,0,2.8636363636363638,0
G RUSSELL,Mercedes,304.0,24,23,0.04166666666666663,4.086956521739131,5.0,4.086956521739131,0,4.086956521739131,0,4.086956521739131,0
C LECLERC,Ferrari,221.0,24,21,0.125,5.142857142857143,4.25,5.142857142857143,0,5.142857142857143,0,5.142857142857143,0
L HAMILTON,Ferrari,135.0,24,20,0.16666666666666663,6.75,8.0,6.75,0,6.75,0,6.75,0
K ANTONELLI,Mercedes,133.0,23,17,0.26086956521739135,7.176470588235294,5.8,7.176470588235294,0,7.176470588235294,0,7.176470588235294,0
A ALBON,Williams,70.0,24,15,0.375,8.466666666666667,12.0,8.466666666666667,0,8.466666666666667,0,8.466666666666667,0
C SAINZ,Williams,55.0,24,14,0.41666666666666663,10.071428571428571,7.0,10.071428571428571,0,10.071428571428571,0,10.071428571428571,0
I HADJAR,Racing Bulls,50.0,24,13,0.45833333333333337,9.384615384615385,10.0,9.384615384615385,0,9.384615384615385,0,9.384615384615385,0
F ALONSO,Aston Martin,49.0,24,17,0.29166666666666663,10.235294117647058,10.5,10.235294117647058,0,10.235294117647058,0,10.235294117647058,0
N HULKENBERG,Kick Sauber,49.0,24,12,0.5,9.75,8.0,9.75,0,9.75,0,9.75,0
O BEARMAN,Haas F1 Team,41.0,24,18,0.25,10.444444444444445,7.25,10.444444444444445,0,10.444444444444445,0,10.444444444444445,0
L LAWSON,Racing Bulls,38.0,24,15,0.375,10.8,9.0,10.8,0,10.8,0,10.8,0
E OCON,Haas F1 Team,28.0,24,15,0.375,12.2,11.25,12.2,0,12.2,0,12.2,0
L STROLL,Aston Martin,28.0,23,11,0.5217391304347826,11.545454545454545,14.0,11.545454545454545,0,11.545454545454545,0,11.545454545454545,0
Y TSUNODA,Red Bull Racing,21.0,24,15,0.375,10.933333333333334,11.4,10.933333333333334,0,10.933333333333334,0,10.933333333333334,0
P GASLY,Alpine,20.0,24,11,0.5416666666666667,11.0,11.5,11.0,0,11.0,0,11.0,0
G BORTOLETO,Kick Sauber,19.0,24,11,0.5416666666666667,12.636363636363637,11.5,12.636363636363637,0,12.636363636363637,0,12.636363636363637,0
A ANTONELLI,Mercedes,12.0,1,1,0.0,4.0,4.0,4.0,0,4.0,0,4.0,0
F COLAPINTO,Alpine,0.0,18,5,0.7222222222222222,15.2,15.0,15.2,0,15.2,0,15.2,0
J DOOHAN,Alpine,0.0,6,3,0.5,14.0,14.0,14.0,0,14.0,0,14.0,0
